city,latitude,longitude,temperature,humidity,cloudiness,max windspeed
hermanus,-34.42,19.24,17.56,95,88,2.02
hithadhoo,-0.6,73.08,28.72,100,64,2.47
cabedelo,-6.97,-34.84,25,94,75,2.6
joshimath,30.57,79.57,-20.86,83,8,0.62
cape town,-33.93,18.42,18,93,20,7.2
longyearbyen,78.22,15.63,-11,61,20,6.2
stromness,42.87,-79.55,-8.88,78,20,2.6
chuy,-33.69,-53.46,23.39,91,68,1.07
grand gaube,-20.01,57.66,26,74,75,5.1
abu dhabi,24.47,54.37,17,67,0,3.1
jamestown,-33.21,138.6,22.34,55,0,2.82
ostrovnoy,68.05,39.51,-10.66,87,44,5.12
colinas,-6.03,-44.25,22.07,98,12,0.92
jijiga,9.35,42.8,7.62,87,0,1.07
honavar,14.28,74.45,23.42,89,0,1.47
port alfred,-33.59,26.89,22.09,94,100,1.32
shache,38.42,77.24,-8.86,73,56,1.77
coquimbo,-29.95,-71.34,16,93,20,2.6
leningradskiy,69.38,178.42,-15.29,77,36,5.52
nazarovo,56.01,90.42,-36.14,57,0,1.82
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
ushuaia,-54.81,-68.31,7,81,75,12.3
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
bredasdorp,-34.53,20.04,21,83,92,4.6
ushuaia,-54.81,-68.31,7,81,75,12.3
saint-philippe,45.36,-73.48,-10.43,47,1,7.2
eydhafushi,5.1,73.07,28.12,100,48,1.77
saint george,39.45,22.34,1.07,70,20,1.02
georgetown,6.8,-58.16,23,94,40,2.1
bathsheba,13.22,-59.52,25,73,40,7.2
qasigiannguit,68.82,-51.19,-13,65,20,4.1
bredasdorp,-34.53,20.04,21,83,92,4.6
coihaique,-45.58,-72.07,9.33,53,48,1.5
busselton,-33.64,115.35,24.09,80,0,6.87
busselton,-33.64,115.35,24.09,80,0,6.87
batticaloa,7.71,81.69,25.07,100,48,1.62
bambous virieux,-20.34,57.76,26,74,75,5.1
piacabucu,-10.41,-36.43,24.89,88,48,3.52
bathsheba,13.22,-59.52,25,73,40,7.2
sao filipe,14.9,-24.5,21.82,98,24,3.12
tasiilaq,65.61,-37.64,-14,55,8,0.5
arraial do cabo,-22.97,-42.02,23.99,97,36,3.67
jamestown,-33.21,138.6,22.34,55,0,2.82
voyvozh,62.89,54.96,-8.09,87,80,3.22
sao filipe,14.9,-24.5,21.82,98,24,3.12
longyearbyen,78.22,15.63,-11,61,20,6.2
ushuaia,-54.81,-68.31,7,81,75,12.3
port alfred,-33.59,26.89,22.09,94,100,1.32
los llanos de aridane,28.66,-17.92,15,82,0,3.6
nuuk,64.17,-51.74,-3,49,56,9.8
hithadhoo,-0.6,73.08,28.72,100,64,2.47
busselton,-33.64,115.35,24.09,80,0,6.87
busselton,-33.64,115.35,24.09,80,0,6.87
hermanus,-34.42,19.24,17.56,95,88,2.02
hithadhoo,-0.6,73.08,28.72,100,64,2.47
santa rita,10.21,-67.56,20.06,91,32,1.37
saint george,39.45,22.34,1.07,70,20,1.02
narsaq,60.91,-46.05,-2,63,32,19
varhaug,58.61,5.65,6,87,90,11.8
chicama,-7.84,-79.15,24,88,75,3.6
ilulissat,69.22,-51.1,-13,65,20,4.1
ostrovnoy,68.05,39.51,-10.66,87,44,5.12
meulaboh,4.14,96.13,27.02,100,12,0.82
chopovychi,50.83,28.95,-2.99,89,56,4.57
ribeira grande,38.52,-28.7,15.67,100,68,8.92
tizimin,21.14,-88.15,23.49,63,36,3.87
mogadishu,2.04,45.34,25.82,100,88,8.52
vestmannaeyjar,63.44,-20.27,-0.79,100,0,6.72
moose factory,51.26,-80.61,-17,70,1,4.6
ushuaia,-54.81,-68.31,7,81,75,12.3
ushuaia,-54.81,-68.31,7,81,75,12.3
cape town,-33.93,18.42,18,93,20,7.2
lebu,8.96,38.73,4.64,86,0,1.17
nioro,13.79,-15.05,22.52,33,8,4.22
saint-georges,46.12,-70.67,-10.49,52,0,4.87
port alfred,-33.59,26.89,22.09,94,100,1.32
bredasdorp,-34.53,20.04,21,83,92,4.6
souillac,45.6,-0.6,12,71,0,7.7
narsaq,60.91,-46.05,-2,63,32,19
ushuaia,-54.81,-68.31,7,81,75,12.3
lebu,8.96,38.73,4.64,86,0,1.17
busselton,-33.64,115.35,24.09,80,0,6.87
shubarshi,48.59,57.19,-22.26,47,0,1.37
chlum u trebone,48.96,14.93,0.81,86,56,3.47
bandarbeyla,9.49,50.81,24.42,100,80,5.02
qaanaaq,77.48,-69.36,-23.11,84,24,2.42
tasiilaq,65.61,-37.64,-14,55,8,0.5
punta arenas,-53.16,-70.91,7,75,75,8.2
